    时间	    开度值	      蜗壳压力	      尾水管压力	    流量	      转速	      出力	  单位转速	  单位流量	  单位力矩	球阀前压力	球阀后压力	蜗壳进口压力	尾水管出口压力
  11.600	   0.444	       557.213	        75.124	    -5.813	   491.778	  -136.405	    94.081	    -0.015	    -7.561	489.022527	489.022527	557.956534	2328.311701
  11.800	   0.439	       551.583	        75.081	    -4.394	   488.660	  -123.164	    94.027	    -0.011	    -6.951	485.351873	485.351873	554.219664	2328.370261
  12.000	   0.434	       548.140	        77.979	    -2.203	   485.892	  -106.135	    94.118	    -0.006	    -6.104	485.089049	485.089049	553.270736	2330.792875
  12.200	   0.429	       545.453	        83.605	     0.611	   483.548	   -88.001	    94.502	     0.002	    -5.177	482.356152	482.356152	550.567909	2336.133333
  12.400	   0.424	       544.171	        90.713	     3.658	   481.645	   -71.418	    95.001	     0.010	    -4.297	481.679575	481.679575	549.599236	2342.568927
  12.600	   0.419	       542.591	        97.031	     6.737	   480.095	   -57.839	    95.542	     0.018	    -3.554	480.000081	480.000081	547.271577	2349.415400
  12.800	   0.414	       537.100	        98.618	    10.051	   478.905	   -40.473	    96.091	     0.027	    -2.534	475.478905	475.478905	542.979721	2351.301337
  13.000	   0.409	       527.964	        97.986	    13.916	   478.124	   -25.645	    96.912	     0.038	    -1.641	468.145640	468.145640	535.120007	2349.892190
  13.200	   0.404	       518.512	        97.158	    18.489	   477.748	    -4.259	    97.878	     0.051	    -0.279	458.187903	458.187903	524.949836	2349.217021
  13.400	   0.398	       518.877	        94.496	    22.824	   477.904	    15.004	    97.625	     0.063	     0.976	457.393974	457.393974	524.645200	2348.001101
  13.600	   0.393	       524.034	        92.832	    26.444	   478.513	    34.210	    97.035	     0.072	     2.190	462.310842	462.310842	529.519497	2347.524150
  13.800	   0.388	       532.850	        89.865	    29.448	   479.592	    53.415	    96.003	     0.080	     3.324	468.698127	468.698127	536.682449	2344.689179
  14.000	   0.383	       539.399	        80.850	    31.984	   481.144	    72.721	    94.706	     0.085	     4.362	475.122823	475.122823	543.164486	2336.990073
  14.200	   0.378	       548.560	        72.253	    34.093	   483.148	    91.259	    93.342	     0.089	     5.251	483.118751	483.118751	551.334895	2329.080850
  14.400	   0.373	       560.785	        64.955	    36.009	   485.587	   109.631	    91.974	     0.092	     6.033	494.633812	494.633812	563.248426	2322.682567
  14.600	   0.368	       575.977	        61.157	    37.528	   488.431	   125.920	    90.808	     0.094	     6.637	509.111767	509.111767	577.829336	2319.289470
  14.800	   0.363	       590.566	        60.523	    38.296	   491.595	   136.432	    90.079	     0.095	     6.941	521.583016	521.583016	591.261246	2319.803937
  15.000	   0.358	       601.534	        60.376	    38.441	   494.916	   141.064	    89.746	     0.094	     6.981	531.754430	531.754430	601.663637	2319.661195
  15.200	   0.353	       606.586	        57.464	    38.140	   498.275	   141.246	    89.685	     0.093	     6.840	535.709941	535.709941	605.859983	2316.895116
  15.400	   0.348	       608.785	        52.585	    37.715	   501.590	   140.158	    89.693	     0.091	     6.655	537.487461	537.487461	607.847343	2312.085608
  15.600	   0.343	       609.072	        46.610	    37.180	   504.842	   137.929	    89.756	     0.089	     6.432	537.670004	537.670004	607.928948	2306.594164
  15.800	   0.338	       608.168	        42.279	    36.274	   507.992	   131.918	    90.023	     0.087	     6.074	534.490860	534.490860	605.886284	2302.453737
  16.000	   0.333	       601.265	        39.021	    34.465	   510.881	   116.857	    90.797	     0.083	     5.381	526.386005	526.386005	598.001464	2299.080292
  16.200	   0.328	       590.881	        36.095	    32.118	   513.350	    97.415	    91.810	     0.078	     4.521	515.664203	515.664203	587.163530	2296.180159
  16.400	   0.323	       580.321	        33.865	    29.540	   515.340	    76.794	    92.827	     0.072	     3.601	503.979120	503.979120	576.142965	2293.022264
  16.600	   0.318	       570.318	        30.598	    26.843	   516.870	    56.942	    93.642	     0.066	     2.693	493.728874	493.728874	565.496882	2290.034106
  16.800	   0.313	       563.604	        28.948	    23.729	   517.941	    36.109	    94.237	     0.058	     1.719	485.224684	485.224684	557.528740	2287.858238
  17.000	   0.308	       561.401	        27.145	    20.318	   518.558	    15.711	    94.342	     0.050	     0.747	482.612682	482.612682	555.465054	2286.620696
  17.200	   0.303	       570.966	        25.921	    16.505	   518.704	    -4.847	    93.390	     0.040	    -0.226	490.826901	490.826901	563.782475	2284.576892
  17.400	   0.298	       575.273	        24.291	    12.621	   518.380	   -25.672	    92.796	     0.030	    -1.182	496.282651	496.282651	568.984727	2282.751147
