  1	  2	  3	  4	  5	 14	 15	 16	 17	 18	 19	 20	 21	以上是沿线管道号
与进水口距离	  最大压力值	 最小压力值
 2964.74	     2385.04	     2291.30
 2975.61	     2383.82	     2292.57
 2986.48	     2382.62	     2293.87
 2997.34	     2381.48	     2294.87
 3008.21	     2380.33	     2295.80
 3019.07	     2379.28	     2296.74
 3029.94	     2378.15	     2297.69
 3040.80	     2376.78	     2298.69
 3051.67	     2375.52	     2299.68
 3062.54	     2374.16	     2300.65
 3073.40	     2372.80	     2301.65
 3084.27	     2371.46	     2302.71
 3095.13	     2370.30	     2303.71
 3106.00	     2368.92	     2304.83
 3116.86	     2367.67	     2305.94
 3127.73	     2366.33	     2307.03
 3138.60	     2364.95	     2308.30
 3149.46	     2363.58	     2309.56
 3160.33	     2362.26	     2310.87
 3171.19	     2360.92	     2312.10
 3182.06	     2359.47	     2313.47
 3192.92	     2358.03	     2314.71
 3203.79	     2356.76	     2316.15
 3214.66	     2355.33	     2317.54
 3225.52	     2354.49	     2318.84
 3236.39	     2354.46	     2320.15
 3247.25	     2354.42	     2321.48
 3258.12	     2354.38	     2322.71
 3268.98	     2354.34	     2324.11
 3279.85	     2354.30	     2325.59
 3290.71	     2354.24	     2327.01
 3301.58	     2354.18	     2328.42
 3312.45	     2354.11	     2330.05
 3323.31	     2354.03	     2331.50
 3334.18	     2353.95	     2332.98
 3345.04	     2353.87	     2333.59
 3355.07	     2353.75	     2333.49
 3365.09	     2353.63	     2333.73
 3375.12	     2353.52	     2333.98
 3385.14	     2353.40	     2334.23
 3395.16	     2353.29	     2334.47
 3405.19	     2353.17	     2334.71
 3415.21	     2353.06	     2334.94
 3425.24	     2352.96	     2335.17
 3435.26	     2352.85	     2335.41
 3445.28	     2352.74	     2335.65
 3455.31	     2352.63	     2335.86
 3465.33	     2352.74	     2336.06
 3475.36	     2352.61	     2336.23
 3485.38	     2352.49	     2336.40
 3495.41	     2352.38	     2336.56
 3505.43	     2352.26	     2336.71
 3515.45	     2352.14	     2336.82
 3525.48	     2352.10	     2336.92
 3535.50	     2351.93	     2337.09
 3545.53	     2351.80	     2337.21
 3555.55	     2351.68	     2337.33
 3565.57	     2351.55	     2337.45
 3575.60	     2351.42	     2337.57
 3585.62	     2351.29	     2337.68
 3595.65	     2351.16	     2337.80
 3605.67	     2351.05	     2337.92
 3615.69	     2350.95	     2338.03
 3625.72	     2350.84	     2338.15
 3635.74	     2350.72	     2338.26
 3645.77	     2350.62	     2338.37
 3655.79	     2350.52	     2338.49
 3665.82	     2350.42	     2338.61
 3675.84	     2350.33	     2338.72
 3685.86	     2350.23	     2338.84
